,inc1,inc2,weight
1192,Kidnapping/abductions/hostage,Defensive Use - WITHOUT a gun,36.0
1193,Kidnapping/abductions/hostage,Police Targeted,14.0
1194,Kidnapping/abductions/hostage,Defensive Use - Stand Your Ground/Castle Doctrine established,9.0
1195,Kidnapping/abductions/hostage,Playing with gun,0.0
1196,Kidnapping/abductions/hostage,Child injured by child,0.0
1197,Kidnapping/abductions/hostage,Officer Involved Shooting - subject/suspect/perpetrator unarmed,3.0
1198,Kidnapping/abductions/hostage,ShotSpotter,0.0
1199,Kidnapping/abductions/hostage,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,227.0
1200,Kidnapping/abductions/hostage,Defensive Use - Good Samaritan/Third Party,10.0
1201,Kidnapping/abductions/hostage,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,29.0
1202,Kidnapping/abductions/hostage,Child killed,6.0
1203,Kidnapping/abductions/hostage,Child with gun - no shots fired,0.0
1204,Kidnapping/abductions/hostage,Gun shop robbery or burglary,1.0
1205,Kidnapping/abductions/hostage,Shootout,26.0
1206,Kidnapping/abductions/hostage,Guns stolen from law enforcement,2.0
1207,Kidnapping/abductions/hostage,Defensive use - No shots fired,10.0
1208,Kidnapping/abductions/hostage,Officer Involved Shooting - Bystander shot,17.0
1209,Kidnapping/abductions/hostage,Officer Involved Shooting - Bystander killed,7.0
1210,Kidnapping/abductions/hostage,Child injured,4.0
1211,Kidnapping/abductions/hostage,Gun buy back action,0.0
1212,Kidnapping/abductions/hostage,Terrorism Involvement,1.0
1213,Kidnapping/abductions/hostage,Officer Involved Shooting - Accidental discharge - no injury required,1.0
1214,Kidnapping/abductions/hostage,Mistaken ID ,0.0
1215,Kidnapping/abductions/hostage,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,3.0
1216,Kidnapping/abductions/hostage,Ghost gun,1.0
1217,Kidnapping/abductions/hostage,Political Violence,0.0
1218,Under the influence of alcohol or drugs,Suicide,83.0
1219,Under the influence of alcohol or drugs,Murder/Suicide,30.0
1220,Under the influence of alcohol or drugs,Attempted Murder/Suicide,7.0
1221,Under the influence of alcohol or drugs,Domestic Violence,512.0
1222,Under the influence of alcohol or drugs,Home Invasion,108.0
1223,Under the influence of alcohol or drugs,Home Invasion - Resident killed,4.0
1224,Under the influence of alcohol or drugs,Armed robbery with injury/death and/or evidence of DGU found,32.0
1225,Under the influence of alcohol or drugs,Drive-by,106.0
1226,Under the influence of alcohol or drugs,Officer Involved Shooting - Officer shot,25.0
1227,Under the influence of alcohol or drugs,Officer Involved Shooting - Officer killed,8.0
1228,Under the influence of alcohol or drugs,Officer Involved Shooting - subject/suspect/perpetrator shot,112.0
1229,Under the influence of alcohol or drugs,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,26.0
1230,Under the influence of alcohol or drugs,Spree Shooting,10.0
1231,Under the influence of alcohol or drugs,Institution/Group/Business,166.0
1232,Under the influence of alcohol or drugs,Animal shot/killed,5.0
1233,Under the influence of alcohol or drugs,Home Invasion - Resident injured,3.0
1234,Under the influence of alcohol or drugs,Mass Murder,3.0
1235,Under the influence of alcohol or drugs,Concealed Carry License - Perpetrator,75.0
1236,Under the influence of alcohol or drugs,Stolen/Illegally owned,233.0
1237,Under the influence of alcohol or drugs,School Incident,21.0
1238,Under the influence of alcohol or drugs,School Shooting - university/college,2.0
1239,Under the influence of alcohol or drugs,Car-jacking,28.0
1240,Under the influence of alcohol or drugs,Hate crime,9.0
1241,Under the influence of alcohol or drugs,House party,39.0
1242,Under the influence of alcohol or drugs,Defensive Use,205.0
1243,Under the influence of alcohol or drugs,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",62.0
1244,Under the influence of alcohol or drugs,Defensive Use - Victim stops crime,112.0
1245,Under the influence of alcohol or drugs,Workplace shooting,7.0
1246,Under the influence of alcohol or drugs,Assault weapon,103.0
1247,Under the influence of alcohol or drugs,Pistol-whipping,42.0
1248,Under the influence of alcohol or drugs,Implied Weapon,24.0
1249,Under the influence of alcohol or drugs,Accidental Shooting,301.0
1250,Under the influence of alcohol or drugs,Accidental Shooting - Injury,164.0
1251,Under the influence of alcohol or drugs,Cleaning gun,16.0
1252,Under the influence of alcohol or drugs,Brandishing/flourishing/open carry/lost/found,717.0
1253,Under the influence of alcohol or drugs,Non-Shooting Incident,1364.0
1254,Under the influence of alcohol or drugs,ATF/LE Confiscation/Raid/Arrest,665.0
1255,Under the influence of alcohol or drugs,Unlawful purchase/sale,4.0
1256,Under the influence of alcohol or drugs,Accidental Shooting - Death,95.0
1257,Under the influence of alcohol or drugs,BB/Pellet/Replica gun,57.0
1258,Under the influence of alcohol or drugs,Hunting accident,4.0
1259,Under the influence of alcohol or drugs,Road rage,48.0
1260,Under the influence of alcohol or drugs,Home Invasion - No death or injury,59.0
1261,Under the influence of alcohol or drugs,Accidental/Negligent Discharge,269.0
1262,Under the influence of alcohol or drugs,"Shots fired, no action",2.0
1263,Under the influence of alcohol or drugs,Sex crime involving firearm,6.0
1264,Under the influence of alcohol or drugs,TSA Action,0.0
1265,Under the influence of alcohol or drugs,Thought gun was unloaded,32.0
1266,Under the influence of alcohol or drugs,stolen from owner,44.0
1267,Under the influence of alcohol or drugs,Gun range/gun shop/gun show shooting,2.0
1268,Under the influence of alcohol or drugs,Home Invasion - subject/suspect/perpetrator killed,23.0
1269,Under the influence of alcohol or drugs,Home Invasion - subject/suspect/perpetrator injured,21.0
1270,Under the influence of alcohol or drugs,Child Involved Incident,15.0
1271,Under the influence of alcohol or drugs,Child injured self,0.0
1272,Under the influence of alcohol or drugs,Suicide - Attempt,14.0
1273,Under the influence of alcohol or drugs,Child killed by child,0.0
1274,Under the influence of alcohol or drugs,Self-Inflicted,61.0
1275,Under the influence of alcohol or drugs,School Shooting - elementary/secondary school,0.0
1276,Under the influence of alcohol or drugs,Officer Involved Incident - Weapon involved but no shots fired,239.0
1277,Under the influence of alcohol or drugs,"Defensive Use - Shots fired, no injury/death",18.0
1278,Under the influence of alcohol or drugs,Concealed Carry License - Victim,17.0
1279,Under the influence of alcohol or drugs,"Officer Involved Shooting - Shots fired, no injury",152.0
1280,Under the influence of alcohol or drugs,Accidental Shooting at a Business,10.0
1281,Under the influence of alcohol or drugs,Criminal act with stolen gun,64.0
1282,Under the influence of alcohol or drugs,Child killed self,1.0
1283,Under the influence of alcohol or drugs,Child picked up & fired gun,1.0
1284,Under the influence of alcohol or drugs,"Gun at school, no death/injury - elementary/secondary school",14.0
1285,Under the influence of alcohol or drugs,"Gun at school, no death/injury - university/college",6.0
1286,Under the influence of alcohol or drugs,Non-Aggression Incident,157.0
1287,Under the influence of alcohol or drugs,Defensive Use - WITHOUT a gun,54.0
1288,Under the influence of alcohol or drugs,Police Targeted,22.0
1289,Under the influence of alcohol or drugs,Defensive Use - Stand Your Ground/Castle Doctrine established,36.0
1290,Under the influence of alcohol or drugs,Playing with gun,75.0
1291,Under the influence of alcohol or drugs,Child injured by child,1.0
1292,Under the influence of alcohol or drugs,Officer Involved Shooting - subject/suspect/perpetrator unarmed,27.0
1293,Under the influence of alcohol or drugs,ShotSpotter,2.0
1294,Under the influence of alcohol or drugs,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,171.0
1295,Under the influence of alcohol or drugs,Defensive Use - Good Samaritan/Third Party,23.0
1296,Under the influence of alcohol or drugs,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,26.0
1297,Under the influence of alcohol or drugs,Child killed,6.0
1298,Under the influence of alcohol or drugs,Child with gun - no shots fired,0.0
1299,Under the influence of alcohol or drugs,Gun shop robbery or burglary,1.0
1300,Under the influence of alcohol or drugs,Shootout,35.0
1301,Under the influence of alcohol or drugs,Guns stolen from law enforcement,4.0
1302,Under the influence of alcohol or drugs,Defensive use - No shots fired,29.0
1303,Under the influence of alcohol or drugs,Officer Involved Shooting - Bystander shot,7.0
1304,Under the influence of alcohol or drugs,Officer Involved Shooting - Bystander killed,1.0
1305,Under the influence of alcohol or drugs,Child injured,6.0
1306,Under the influence of alcohol or drugs,Gun buy back action,0.0
1307,Under the influence of alcohol or drugs,Terrorism Involvement,0.0
1308,Under the influence of alcohol or drugs,Officer Involved Shooting - Accidental discharge - no injury required,6.0
1309,Under the influence of alcohol or drugs,Mistaken ID ,4.0
1310,Under the influence of alcohol or drugs,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,14.0
1311,Under the influence of alcohol or drugs,Ghost gun,2.0
1312,Under the influence of alcohol or drugs,Political Violence,0.0
1313,Suicide,Murder/Suicide,2912.0
1314,Suicide,Attempted Murder/Suicide,469.0
1315,Suicide,Domestic Violence,1838.0
1316,Suicide,Home Invasion,61.0
1317,Suicide,Home Invasion - Resident killed,23.0
1318,Suicide,Armed robbery with injury/death and/or evidence of DGU found,43.0
1319,Suicide,Drive-by,35.0
1320,Suicide,Officer Involved Shooting - Officer shot,75.0
1321,Suicide,Officer Involved Shooting - Officer killed,36.0
1322,Suicide,Officer Involved Shooting - subject/suspect/perpetrator shot,122.0
1323,Suicide,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,939.0
1324,Suicide,Spree Shooting,37.0
1325,Suicide,Institution/Group/Business,214.0
1326,Suicide,Animal shot/killed,16.0
1327,Suicide,Home Invasion - Resident injured,14.0
1328,Suicide,Mass Murder,27.0
1329,Suicide,Concealed Carry License - Perpetrator,17.0
1330,Suicide,Stolen/Illegally owned,38.0
1331,Suicide,School Incident,50.0
1332,Suicide,School Shooting - university/college,13.0
1333,Suicide,Car-jacking,26.0
1334,Suicide,Hate crime,3.0
1335,Suicide,House party,4.0
1336,Suicide,Defensive Use,40.0
1337,Suicide,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",9.0
1338,Suicide,Defensive Use - Victim stops crime,5.0
1339,Suicide,Workplace shooting,41.0
1340,Suicide,Assault weapon,25.0
1341,Suicide,Pistol-whipping,14.0
1342,Suicide,Implied Weapon,6.0
1343,Suicide,Accidental Shooting,37.0
1344,Suicide,Accidental Shooting - Injury,15.0
1345,Suicide,Cleaning gun,1.0
1346,Suicide,Brandishing/flourishing/open carry/lost/found,203.0
1347,Suicide,Non-Shooting Incident,24.0
1348,Suicide,ATF/LE Confiscation/Raid/Arrest,55.0
1349,Suicide,Unlawful purchase/sale,0.0
1350,Suicide,Accidental Shooting - Death,17.0
1351,Suicide,BB/Pellet/Replica gun,21.0
1352,Suicide,Hunting accident,1.0
1353,Suicide,Road rage,6.0
1354,Suicide,Home Invasion - No death or injury,7.0
1355,Suicide,Accidental/Negligent Discharge,25.0
1356,Suicide,"Shots fired, no action",4.0
1357,Suicide,Sex crime involving firearm,3.0
1358,Suicide,TSA Action,0.0
1359,Suicide,Thought gun was unloaded,1.0
1360,Suicide,stolen from owner,16.0
1361,Suicide,Gun range/gun shop/gun show shooting,77.0
1362,Suicide,Home Invasion - subject/suspect/perpetrator killed,37.0
1363,Suicide,Home Invasion - subject/suspect/perpetrator injured,6.0
1364,Suicide,Child Involved Incident,129.0
1365,Suicide,Child injured self,0.0
1366,Suicide,Suicide - Attempt,602.0
1367,Suicide,Child killed by child,1.0
1368,Suicide,Self-Inflicted,0.0
1369,Suicide,School Shooting - elementary/secondary school,25.0
1370,Suicide,Officer Involved Incident - Weapon involved but no shots fired,71.0
1371,Suicide,"Defensive Use - Shots fired, no injury/death",2.0
1372,Suicide,Concealed Carry License - Victim,6.0
1373,Suicide,"Officer Involved Shooting - Shots fired, no injury",36.0
1374,Suicide,Accidental Shooting at a Business,0.0
1375,Suicide,Criminal act with stolen gun,27.0
1376,Suicide,Child killed self,11.0
1377,Suicide,Child picked up & fired gun,3.0
1378,Suicide,"Gun at school, no death/injury - elementary/secondary school",2.0
1379,Suicide,"Gun at school, no death/injury - university/college",1.0
1380,Suicide,Non-Aggression Incident,10.0
1381,Suicide,Defensive Use - WITHOUT a gun,5.0
1382,Suicide,Police Targeted,20.0
1383,Suicide,Defensive Use - Stand Your Ground/Castle Doctrine established,2.0
1384,Suicide,Playing with gun,6.0
1385,Suicide,Child injured by child,0.0
1386,Suicide,Officer Involved Shooting - subject/suspect/perpetrator unarmed,3.0
1387,Suicide,ShotSpotter,0.0
1388,Suicide,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,48.0
1389,Suicide,Defensive Use - Good Samaritan/Third Party,4.0
1390,Suicide,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,80.0
1391,Suicide,Child killed,105.0
1392,Suicide,Child with gun - no shots fired,0.0
1393,Suicide,Gun shop robbery or burglary,0.0
1394,Suicide,Shootout,55.0
1395,Suicide,Guns stolen from law enforcement,5.0
1396,Suicide,Defensive use - No shots fired,1.0
1397,Suicide,Officer Involved Shooting - Bystander shot,5.0
1398,Suicide,Officer Involved Shooting - Bystander killed,3.0
1399,Suicide,Child injured,20.0
1400,Suicide,Gun buy back action,0.0
1401,Suicide,Terrorism Involvement,0.0
1402,Suicide,Officer Involved Shooting - Accidental discharge - no injury required,3.0
1403,Suicide,Mistaken ID ,0.0
1404,Suicide,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,92.0
1405,Suicide,Ghost gun,3.0
1406,Suicide,Political Violence,0.0
1407,Murder/Suicide,Attempted Murder/Suicide,469.0
1408,Murder/Suicide,Domestic Violence,1556.0
1409,Murder/Suicide,Home Invasion,31.0
1410,Murder/Suicide,Home Invasion - Resident killed,23.0
1411,Murder/Suicide,Armed robbery with injury/death and/or evidence of DGU found,7.0
1412,Murder/Suicide,Drive-by,13.0
1413,Murder/Suicide,Officer Involved Shooting - Officer shot,20.0
1414,Murder/Suicide,Officer Involved Shooting - Officer killed,13.0
1415,Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator shot,17.0
1416,Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,155.0
1417,Murder/Suicide,Spree Shooting,21.0
1418,Murder/Suicide,Institution/Group/Business,75.0
1419,Murder/Suicide,Animal shot/killed,12.0
1420,Murder/Suicide,Home Invasion - Resident injured,8.0
1421,Murder/Suicide,Mass Murder,26.0
1422,Murder/Suicide,Concealed Carry License - Perpetrator,15.0
1423,Murder/Suicide,Stolen/Illegally owned,10.0
1424,Murder/Suicide,School Incident,20.0
1425,Murder/Suicide,School Shooting - university/college,9.0
1426,Murder/Suicide,Car-jacking,8.0
1427,Murder/Suicide,Hate crime,2.0
1428,Murder/Suicide,House party,3.0
1429,Murder/Suicide,Defensive Use,15.0
1430,Murder/Suicide,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",3.0
1431,Murder/Suicide,Defensive Use - Victim stops crime,2.0
1432,Murder/Suicide,Workplace shooting,31.0
1433,Murder/Suicide,Assault weapon,14.0
1434,Murder/Suicide,Pistol-whipping,5.0
1435,Murder/Suicide,Implied Weapon,0.0
1436,Murder/Suicide,Accidental Shooting,5.0
1437,Murder/Suicide,Accidental Shooting - Injury,2.0
1438,Murder/Suicide,Cleaning gun,0.0
1439,Murder/Suicide,Brandishing/flourishing/open carry/lost/found,29.0
1440,Murder/Suicide,Non-Shooting Incident,4.0
1441,Murder/Suicide,ATF/LE Confiscation/Raid/Arrest,8.0
1442,Murder/Suicide,Unlawful purchase/sale,0.0
1443,Murder/Suicide,Accidental Shooting - Death,3.0
1444,Murder/Suicide,BB/Pellet/Replica gun,1.0
1445,Murder/Suicide,Hunting accident,0.0
1446,Murder/Suicide,Road rage,4.0
1447,Murder/Suicide,Home Invasion - No death or injury,0.0
1448,Murder/Suicide,Accidental/Negligent Discharge,3.0
1449,Murder/Suicide,"Shots fired, no action",0.0
1450,Murder/Suicide,Sex crime involving firearm,2.0
1451,Murder/Suicide,TSA Action,0.0
1452,Murder/Suicide,Thought gun was unloaded,1.0
1453,Murder/Suicide,stolen from owner,3.0
1454,Murder/Suicide,Gun range/gun shop/gun show shooting,0.0
1455,Murder/Suicide,Home Invasion - subject/suspect/perpetrator killed,20.0
1456,Murder/Suicide,Home Invasion - subject/suspect/perpetrator injured,3.0
1457,Murder/Suicide,Child Involved Incident,113.0
1458,Murder/Suicide,Child injured self,0.0
1459,Murder/Suicide,Suicide - Attempt,156.0
1460,Murder/Suicide,Child killed by child,0.0
1461,Murder/Suicide,Self-Inflicted,0.0
1462,Murder/Suicide,School Shooting - elementary/secondary school,9.0
1463,Murder/Suicide,Officer Involved Incident - Weapon involved but no shots fired,3.0
1464,Murder/Suicide,"Defensive Use - Shots fired, no injury/death",0.0
1465,Murder/Suicide,Concealed Carry License - Victim,1.0
1466,Murder/Suicide,"Officer Involved Shooting - Shots fired, no injury",8.0
1467,Murder/Suicide,Accidental Shooting at a Business,0.0
1468,Murder/Suicide,Criminal act with stolen gun,5.0
1469,Murder/Suicide,Child killed self,0.0
1470,Murder/Suicide,Child picked up & fired gun,0.0
1471,Murder/Suicide,"Gun at school, no death/injury - elementary/secondary school",0.0
1472,Murder/Suicide,"Gun at school, no death/injury - university/college",0.0
1473,Murder/Suicide,Non-Aggression Incident,1.0
1474,Murder/Suicide,Defensive Use - WITHOUT a gun,3.0
1475,Murder/Suicide,Police Targeted,4.0
1476,Murder/Suicide,Defensive Use - Stand Your Ground/Castle Doctrine established,0.0
1477,Murder/Suicide,Playing with gun,1.0
1478,Murder/Suicide,Child injured by child,0.0
1479,Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator unarmed,0.0
1480,Murder/Suicide,ShotSpotter,0.0
1481,Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,7.0
1482,Murder/Suicide,Defensive Use - Good Samaritan/Third Party,3.0
1483,Murder/Suicide,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,37.0
1484,Murder/Suicide,Child killed,92.0
1485,Murder/Suicide,Child with gun - no shots fired,0.0
1486,Murder/Suicide,Gun shop robbery or burglary,0.0
1487,Murder/Suicide,Shootout,9.0
1488,Murder/Suicide,Guns stolen from law enforcement,1.0
1489,Murder/Suicide,Defensive use - No shots fired,1.0
1490,Murder/Suicide,Officer Involved Shooting - Bystander shot,1.0
1491,Murder/Suicide,Officer Involved Shooting - Bystander killed,3.0
1492,Murder/Suicide,Child injured,19.0
1493,Murder/Suicide,Gun buy back action,0.0
1494,Murder/Suicide,Terrorism Involvement,0.0
1495,Murder/Suicide,Officer Involved Shooting - Accidental discharge - no injury required,1.0
1496,Murder/Suicide,Mistaken ID ,0.0
1497,Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,1.0
1498,Murder/Suicide,Ghost gun,3.0
1499,Murder/Suicide,Political Violence,0.0
1500,Attempted Murder/Suicide,Domestic Violence,266.0
1501,Attempted Murder/Suicide,Home Invasion,10.0
1502,Attempted Murder/Suicide,Home Invasion - Resident killed,5.0
1503,Attempted Murder/Suicide,Armed robbery with injury/death and/or evidence of DGU found,4.0
1504,Attempted Murder/Suicide,Drive-by,6.0
1505,Attempted Murder/Suicide,Officer Involved Shooting - Officer shot,12.0
1506,Attempted Murder/Suicide,Officer Involved Shooting - Officer killed,1.0
1507,Attempted Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator shot,15.0
1508,Attempted Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,44.0
1509,Attempted Murder/Suicide,Spree Shooting,3.0
1510,Attempted Murder/Suicide,Institution/Group/Business,20.0
1511,Attempted Murder/Suicide,Animal shot/killed,0.0
1512,Attempted Murder/Suicide,Home Invasion - Resident injured,4.0
1513,Attempted Murder/Suicide,Mass Murder,1.0
1514,Attempted Murder/Suicide,Concealed Carry License - Perpetrator,3.0
1515,Attempted Murder/Suicide,Stolen/Illegally owned,5.0
1516,Attempted Murder/Suicide,School Incident,3.0
1517,Attempted Murder/Suicide,School Shooting - university/college,1.0
1518,Attempted Murder/Suicide,Car-jacking,6.0
1519,Attempted Murder/Suicide,Hate crime,1.0
1520,Attempted Murder/Suicide,House party,1.0
1521,Attempted Murder/Suicide,Defensive Use,7.0
1522,Attempted Murder/Suicide,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",2.0
1523,Attempted Murder/Suicide,Defensive Use - Victim stops crime,1.0
1524,Attempted Murder/Suicide,Workplace shooting,8.0
1525,Attempted Murder/Suicide,Assault weapon,2.0
1526,Attempted Murder/Suicide,Pistol-whipping,3.0
1527,Attempted Murder/Suicide,Implied Weapon,0.0
1528,Attempted Murder/Suicide,Accidental Shooting,1.0
1529,Attempted Murder/Suicide,Accidental Shooting - Injury,1.0
1530,Attempted Murder/Suicide,Cleaning gun,0.0
1531,Attempted Murder/Suicide,Brandishing/flourishing/open carry/lost/found,8.0
1532,Attempted Murder/Suicide,Non-Shooting Incident,4.0
1533,Attempted Murder/Suicide,ATF/LE Confiscation/Raid/Arrest,3.0
1534,Attempted Murder/Suicide,Unlawful purchase/sale,0.0
1535,Attempted Murder/Suicide,Accidental Shooting - Death,0.0
1536,Attempted Murder/Suicide,BB/Pellet/Replica gun,1.0
1537,Attempted Murder/Suicide,Hunting accident,0.0
1538,Attempted Murder/Suicide,Road rage,3.0
1539,Attempted Murder/Suicide,Home Invasion - No death or injury,0.0
1540,Attempted Murder/Suicide,Accidental/Negligent Discharge,1.0
1541,Attempted Murder/Suicide,"Shots fired, no action",0.0
1542,Attempted Murder/Suicide,Sex crime involving firearm,2.0
1543,Attempted Murder/Suicide,TSA Action,0.0
1544,Attempted Murder/Suicide,Thought gun was unloaded,0.0
1545,Attempted Murder/Suicide,stolen from owner,1.0
1546,Attempted Murder/Suicide,Gun range/gun shop/gun show shooting,0.0
1547,Attempted Murder/Suicide,Home Invasion - subject/suspect/perpetrator killed,5.0
1548,Attempted Murder/Suicide,Home Invasion - subject/suspect/perpetrator injured,3.0
1549,Attempted Murder/Suicide,Child Involved Incident,14.0
1550,Attempted Murder/Suicide,Child injured self,0.0
1551,Attempted Murder/Suicide,Suicide - Attempt,148.0
1552,Attempted Murder/Suicide,Child killed by child,0.0
1553,Attempted Murder/Suicide,Self-Inflicted,0.0
1554,Attempted Murder/Suicide,School Shooting - elementary/secondary school,2.0
1555,Attempted Murder/Suicide,Officer Involved Incident - Weapon involved but no shots fired,1.0
1556,Attempted Murder/Suicide,"Defensive Use - Shots fired, no injury/death",0.0
1557,Attempted Murder/Suicide,Concealed Carry License - Victim,0.0
1558,Attempted Murder/Suicide,"Officer Involved Shooting - Shots fired, no injury",3.0
1559,Attempted Murder/Suicide,Accidental Shooting at a Business,0.0
1560,Attempted Murder/Suicide,Criminal act with stolen gun,1.0
1561,Attempted Murder/Suicide,Child killed self,0.0
1562,Attempted Murder/Suicide,Child picked up & fired gun,0.0
1563,Attempted Murder/Suicide,"Gun at school, no death/injury - elementary/secondary school",0.0
1564,Attempted Murder/Suicide,"Gun at school, no death/injury - university/college",0.0
1565,Attempted Murder/Suicide,Non-Aggression Incident,0.0
1566,Attempted Murder/Suicide,Defensive Use - WITHOUT a gun,0.0
1567,Attempted Murder/Suicide,Police Targeted,0.0
1568,Attempted Murder/Suicide,Defensive Use - Stand Your Ground/Castle Doctrine established,0.0
1569,Attempted Murder/Suicide,Playing with gun,0.0
1570,Attempted Murder/Suicide,Child injured by child,0.0
1571,Attempted Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator unarmed,0.0
1572,Attempted Murder/Suicide,ShotSpotter,0.0
1573,Attempted Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator surrender at standoff,4.0
1574,Attempted Murder/Suicide,Defensive Use - Good Samaritan/Third Party,2.0
1575,Attempted Murder/Suicide,LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,7.0
1576,Attempted Murder/Suicide,Child killed,2.0
1577,Attempted Murder/Suicide,Child with gun - no shots fired,0.0
1578,Attempted Murder/Suicide,Gun shop robbery or burglary,0.0
1579,Attempted Murder/Suicide,Shootout,3.0
1580,Attempted Murder/Suicide,Guns stolen from law enforcement,1.0
1581,Attempted Murder/Suicide,Defensive use - No shots fired,1.0
1582,Attempted Murder/Suicide,Officer Involved Shooting - Bystander shot,0.0
1583,Attempted Murder/Suicide,Officer Involved Shooting - Bystander killed,0.0
1584,Attempted Murder/Suicide,Child injured,9.0
1585,Attempted Murder/Suicide,Gun buy back action,0.0
1586,Attempted Murder/Suicide,Terrorism Involvement,0.0
1587,Attempted Murder/Suicide,Officer Involved Shooting - Accidental discharge - no injury required,1.0
1588,Attempted Murder/Suicide,Mistaken ID ,0.0
1589,Attempted Murder/Suicide,Officer Involved Shooting - subject/suspect/perpetrator suicide by cop,0.0
1590,Attempted Murder/Suicide,Ghost gun,0.0
1591,Attempted Murder/Suicide,Political Violence,0.0
1592,Domestic Violence,Home Invasion,373.0
1593,Domestic Violence,Home Invasion - Resident killed,52.0
1594,Domestic Violence,Armed robbery with injury/death and/or evidence of DGU found,47.0
1595,Domestic Violence,Drive-by,139.0
1596,Domestic Violence,Officer Involved Shooting - Officer shot,95.0
1597,Domestic Violence,Officer Involved Shooting - Officer killed,36.0
1598,Domestic Violence,Officer Involved Shooting - subject/suspect/perpetrator shot,258.0
1599,Domestic Violence,Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff,195.0
1600,Domestic Violence,Spree Shooting,57.0
1601,Domestic Violence,Institution/Group/Business,145.0
1602,Domestic Violence,Animal shot/killed,31.0
1603,Domestic Violence,Home Invasion - Resident injured,85.0
1604,Domestic Violence,Mass Murder,34.0
1605,Domestic Violence,Concealed Carry License - Perpetrator,52.0
1606,Domestic Violence,Stolen/Illegally owned,234.0
1607,Domestic Violence,School Incident,29.0
1608,Domestic Violence,School Shooting - university/college,7.0
1609,Domestic Violence,Car-jacking,34.0
1610,Domestic Violence,Hate crime,3.0
1611,Domestic Violence,House party,18.0
1612,Domestic Violence,Defensive Use,612.0
1613,Domestic Violence,"Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator",276.0
1614,Domestic Violence,Defensive Use - Victim stops crime,193.0
1615,Domestic Violence,Workplace shooting,4.0
1616,Domestic Violence,Assault weapon,122.0
1617,Domestic Violence,Pistol-whipping,238.0
1618,Domestic Violence,Implied Weapon,41.0
1619,Domestic Violence,Accidental Shooting,142.0
1620,Domestic Violence,Accidental Shooting - Injury,84.0
1621,Domestic Violence,Cleaning gun,2.0
1622,Domestic Violence,Brandishing/flourishing/open carry/lost/found,1814.0
1623,Domestic Violence,Non-Shooting Incident,1563.0
1624,Domestic Violence,ATF/LE Confiscation/Raid/Arrest,511.0
1625,Domestic Violence,Unlawful purchase/sale,5.0
1626,Domestic Violence,Accidental Shooting - Death,32.0
1627,Domestic Violence,BB/Pellet/Replica gun,93.0
1628,Domestic Violence,Hunting accident,0.0
1629,Domestic Violence,Road rage,6.0
1630,Domestic Violence,Home Invasion - No death or injury,132.0
1631,Domestic Violence,Accidental/Negligent Discharge,107.0
1632,Domestic Violence,"Shots fired, no action",40.0
1633,Domestic Violence,Sex crime involving firearm,29.0
1634,Domestic Violence,TSA Action,0.0
1635,Domestic Violence,Thought gun was unloaded,8.0
1636,Domestic Violence,stolen from owner,66.0
1637,Domestic Violence,Gun range/gun shop/gun show shooting,1.0
1638,Domestic Violence,Home Invasion - subject/suspect/perpetrator killed,74.0
1639,Domestic Violence,Home Invasion - subject/suspect/perpetrator injured,60.0
1640,Domestic Violence,Child Involved Incident,210.0
1641,Domestic Violence,Child injured self,0.0
1642,Domestic Violence,Suicide - Attempt,163.0
1643,Domestic Violence,Child killed by child,1.0
1644,Domestic Violence,Self-Inflicted,16.0
1645,Domestic Violence,School Shooting - elementary/secondary school,8.0
1646,Domestic Violence,Officer Involved Incident - Weapon involved but no shots fired,455.0
1647,Domestic Violence,"Defensive Use - Shots fired, no injury/death",34.0
1648,Domestic Violence,Concealed Carry License - Victim,31.0
